package	version	architecture	status
libxcb-shape0	1.14-3ubuntu3	arm64	install ok installed
libxcb-shm0	1.14-3ubuntu3	arm64	install ok installed
libxcb-sync1	1.14-3ubuntu3	arm64	install ok installed
libxcb-util1	0.4.0-1build2	arm64	install ok installed
libxcb-xfixes0	1.14-3ubuntu3	arm64	install ok installed
libxcb-xinerama0	1.14-3ubuntu3	arm64	install ok installed
libxcb-xinput0	1.14-3ubuntu3	arm64	install ok installed
libxcb-xkb1	1.14-3ubuntu3	arm64	install ok installed
libxcb1	1.14-3ubuntu3	arm64	install ok installed
libxcb1-dev	1.14-3ubuntu3	arm64	install ok installed
libxcomposite1	1:0.4.5-1build2	arm64	install ok installed
libxcursor1	1:1.2.0-2build4	arm64	install ok installed
libxdamage1	1:1.1.5-2build2	arm64	install ok installed
libxdmcp-dev	1:1.1.3-0ubuntu5	arm64	install ok installed
libxdmcp6	1:1.1.3-0ubuntu5	arm64	install ok installed
libxext-dev	2:1.3.4-1build1	arm64	install ok installed
libxext6	2:1.3.4-1build1	arm64	install ok installed
libxfixes3	1:6.0.0-1	arm64	install ok installed
libxft2	2.3.4-1	arm64	install ok installed
libxi6	2:1.8-1build1	arm64	install ok installed
libxinerama1	2:1.1.4-3	arm64	install ok installed
libxkbcommon-x11-0	1.4.0-1	arm64	install ok installed
libxkbcommon0	1.4.0-1	arm64	install ok installed
libxkbfile1	1:1.1.0-1build3	arm64	install ok installed
libxml2	2.9.13+dfsg-1ubuntu0.11	arm64	install ok installed
libxmu6	2:1.1.3-3	arm64	install ok installed
libxmuu1	2:1.1.3-3	arm64	install ok installed
libxpm4	1:3.5.12-1ubuntu0.22.04.2	arm64	install ok installed
libxrandr2	2:1.5.2-1build1	arm64	install ok installed
libxrender1	1:0.9.10-1build4	arm64	install ok installed
libxshmfence1	1.3-1build4	arm64	install ok installed
libxslt1.1	1.1.34-4ubuntu0.22.04.5	arm64	install ok installed
libxt-dev	1:1.2.1-1	arm64	install ok installed
libxt6	1:1.2.1-1	arm64	install ok installed
libxtables12	1.8.7-1ubuntu5.2	arm64	install ok installed
libxtst6	2:1.2.3-1build4	arm64	install ok installed
libxv1	2:1.0.11-1build2	arm64	install ok installed
libxxf86dga1	2:1.1.5-0ubuntu3	arm64	install ok installed
libxxf86vm1	1:1.1.4-1build3	arm64	install ok installed
libxxhash0	0.8.1-1	arm64	install ok installed
libyaml-0-2	0.2.2-1build2	arm64	install ok installed
libzstd1	1.4.8+dfsg-3build1	arm64	install ok installed
linux-base	4.5ubuntu9+22.04.1	all	install ok installed
linux-image-unsigned-5.19.0-1022-oracle	5.19.0-1022.25~22.04.1	arm64	install ok installed
linux-libc-dev	5.15.0-181.191	arm64	install ok installed
linux-modules-5.19.0-1022-oracle	5.19.0-1022.25~22.04.1	arm64	install ok installed
locales	2.35-0ubuntu3.13	all	install ok installed
login	1:4.8.1-2ubuntu2.2	arm64	install ok installed
logsave	1.46.5-2ubuntu1.2	arm64	install ok installed
lsb-base	11.1.0ubuntu4	all	install ok installed
lto-disabled-list	24	all	install ok installed
lua-lpeg	1.0.2-1	arm64	install ok installed
lzma	9.22-2.2	arm64	install ok installed
lzop	1.04-2build2	arm64	install ok installed
make	4.3-4.1build1	arm64	install ok installed
mawk	1.3.4.20200120-3	arm64	install ok installed
media-types	7.0.0	all	install ok installed
mesa-vulkan-drivers	23.2.1-1ubuntu3.1~22.04.3	arm64	install ok installed
mount	2.37.2-4ubuntu3.5	arm64	install ok installed
mtd-utils	1:2.1.4-1	arm64	install ok installed
ncurses-base	6.3-2ubuntu0.1	all	install ok installed
ncurses-bin	6.3-2ubuntu0.1	arm64	install ok installed
net-tools	1.60+git20181103.0eebece-1ubuntu5.4	arm64	install ok installed
netbase	6.3	all	install ok installed
netcat	1.218-4ubuntu1	all	install ok installed
netcat-openbsd	1.218-4ubuntu1	arm64	install ok installed
networkd-dispatcher	2.1-2ubuntu0.22.04.2	all	install ok installed
nmap	7.91+dfsg1+really7.80+dfsg1-2ubuntu0.1	arm64	install ok installed
nmap-common	7.91+dfsg1+really7.80+dfsg1-2ubuntu0.1	all	install ok installed
openjdk-11-jdk	11.0.31+11-1ubuntu1~22.04.2	arm64	install ok installed
openjdk-11-jdk-headless	11.0.31+11-1ubuntu1~22.04.2	arm64	install ok installed
openjdk-11-jre	11.0.31+11-1ubuntu1~22.04.2	arm64	install ok installed
openjdk-11-jre-headless	11.0.31+11-1ubuntu1~22.04.2	arm64	install ok installed
openjdk-8-jdk	8u492-ga~us2-0ubuntu1~22.04.1	arm64	install ok installed
openjdk-8-jdk-headless	8u492-ga~us2-0ubuntu1~22.04.1	arm64	install ok installed
openjdk-8-jre	8u492-ga~us2-0ubuntu1~22.04.1	arm64	install ok installed
openjdk-8-jre-headless	8u492-ga~us2-0ubuntu1~22.04.1	arm64	install ok installed
openssl	3.0.2-0ubuntu1.25	arm64	install ok installed
p7zip	16.02+dfsg-8	arm64	install ok installed
p7zip-full	16.02+dfsg-8	arm64	install ok installed
passwd	1:4.8.1-2ubuntu2.2	arm64	install ok installed
patch	2.7.6-7build2	arm64	install ok installed
pci.ids	0.0~2022.01.22-1ubuntu0.1	all	install ok installed
perl	5.34.0-3ubuntu1.5	arm64	install ok installed
perl-base	5.34.0-3ubuntu1.5	arm64	install ok installed
perl-modules-5.34	5.34.0-3ubuntu1.5	all	install ok installed
pigz	2.6-1	arm64	install ok installed
pinentry-curses	1.1.1-1build2	arm64	install ok installed
postgresql	14+238	all	install ok installed
postgresql-14	14.23-0ubuntu0.22.04.1	arm64	install ok installed
postgresql-client	14+238	all	install ok installed
postgresql-client-14	14.23-0ubuntu0.22.04.1	arm64	install ok installed
postgresql-client-common	238	all	install ok installed
postgresql-common	238	all	install ok installed
procps	2:3.3.17-6ubuntu2.1	arm64	install ok installed
python3	3.10.6-1~22.04.1	arm64	install ok installed
python3-binwalk	2.3.3+dfsg1-2	all	install ok installed
python3-bs4	4.10.0-2	all	install ok installed
python3-chardet	4.0.0-1	all	install ok installed
python3-dbus	1.2.18-3build1	arm64	install ok installed
python3-distutils	3.10.8-1~22.04	all	install ok installed
python3-gi	3.42.1-0ubuntu1	arm64	install ok installed
python3-html5lib	1.1-3	all	install ok installed
python3-lib2to3	3.10.8-1~22.04	all	install ok installed
python3-lxml	4.8.0-1build1	arm64	install ok installed
python3-magic	2:0.4.24-2	all	install ok installed
python3-minimal	3.10.6-1~22.04.1	arm64	install ok installed
python3-pip	22.0.2+dfsg-1ubuntu0.7	all	install ok installed
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3	all	install ok installed
python3-psycopg2	2.9.2-1build2	arm64	install ok installed
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3	all	install ok installed
python3-six	1.16.0-3ubuntu1	all	install ok installed
python3-soupsieve	2.3.1-1	all	install ok installed
python3-webencodings	0.5.1-4	all	install ok installed
python3-wheel	0.37.1-2ubuntu0.22.04.1	all	install ok installed
python3.10	3.10.12-1~22.04.15	arm64	install ok installed
python3.10-minimal	3.10.12-1~22.04.15	arm64	install ok installed
qemu-system-arm	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qemu-system-common	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qemu-system-data	1:6.2+dfsg-2ubuntu6.30	all	install ok installed
qemu-system-mips	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qemu-system-x86	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qemu-utils	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qt5-gtk-platformtheme	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
qt5-qmake	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
qt5-qmake-bin	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
qtbase5-dev	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
qtbase5-dev-tools	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
qtchooser	66-2build1	arm64	install ok installed
qttranslations5-l10n	5.15.3-1	all	install ok installed
rake	13.0.6-2	all	install ok installed
readline-common	8.1.2-1	all	install ok installed
rpcsvc-proto	1.4.2-0ubuntu6	arm64	install ok installed
ruby	1:3.0~exp1	arm64	install ok installed
ruby-net-telnet	0.1.1-2	all	install ok installed
ruby-rubygems	3.3.5-2ubuntu1.2	all	install ok installed
ruby-webrick	1.7.0-3ubuntu0.2	all	install ok installed
ruby-xmlrpc	0.3.2-1ubuntu0.1	all	install ok installed
ruby3.0	3.0.2-7ubuntu2.12	arm64	install ok installed
rubygems-integration	1.18	all	install ok installed
runc	1.3.4-0ubuntu1~22.04.1	arm64	install ok installed
seabios	1.15.0-1	all	install ok installed
sed	4.8-1ubuntu2.1	arm64	install ok installed
sensible-utils	0.0.17	all	install ok installed
session-migration	0.3.6	arm64	install ok installed
shared-mime-info	2.1-2	arm64	install ok installed
sleuthkit	4.11.1+dfsg-1	arm64	install ok installed
snmp	5.9.1+dfsg-1ubuntu2.9	arm64	install ok installed
squashfs-tools	1:4.5-3build1	arm64	install ok installed
srecord	1.64-3	arm64	install ok installed
ssl-cert	1.1.2	all	install ok installed
sudo	1.9.9-1ubuntu2.6	arm64	install ok installed
systemd	249.11-0ubuntu3.21	arm64	install ok installed
systemd-sysv	249.11-0ubuntu3.21	arm64	install ok installed
systemd-timesyncd	249.11-0ubuntu3.21	arm64	install ok installed
sysvinit-utils	3.01-1ubuntu1	arm64	install ok installed
tar	1.34+dfsg-1ubuntu0.1.22.04.2	arm64	install ok installed
tzdata	2026a-0ubuntu0.22.04.1	all	install ok installed
u-boot-tools	2022.01+dfsg-2ubuntu2.7	arm64	install ok installed
ubuntu-fan	0.12.16	all	install ok installed
ubuntu-keyring	2021.03.26	all	install ok installed
ubuntu-mono	20.10-0ubuntu2	all	install ok installed
ucf	3.0043	all	install ok installed
udev	249.11-0ubuntu3.21	arm64	install ok installed
uml-utilities	20070815.4-1	arm64	install ok installed
unrar	1:6.1.5-1ubuntu0.1	arm64	install ok installed
unzip	6.0-26ubuntu3.2	arm64	install ok installed
usrmerge	25ubuntu2	all	install ok installed
util-linux	2.37.2-4ubuntu3.5	arm64	install ok installed
vlan	2.0.5ubuntu5	all	install ok installed
wget	1.21.2-2ubuntu1.1	arm64	install ok installed
x11-common	1:7.7+23ubuntu2	all	install ok installed
x11-utils	7.7+5build2	arm64	install ok installed
x11proto-dev	2021.5-1	all	install ok installed
xkb-data	2.33-1	all	install ok installed
xorg-sgml-doctools	1:1.11-1.1	all	install ok installed
xtrans-dev	1.4.0-1	all	install ok installed
xz-utils	5.2.5-2ubuntu1.1	arm64	install ok installed
zip	3.0-12build2	arm64	install ok installed
zlib1g	1:1.2.11.dfsg-2ubuntu9.2	arm64	install ok installed
zlib1g-dev	1:1.2.11.dfsg-2ubuntu9.2	arm64	install ok installed
zstd	1.4.8+dfsg-3build1	arm64	install ok installed
